	Bee1	Bee2	Bee3	Bee4	Bee5	Bee6	Bee7	Bee8	T1D11	T1D12	T1D13	T1D14	T1D15	T1D16	T1D31	T1D32	T1D33	T1D34	T1D35	T1D36	T1D51	T1D52	T1D53	T1D54	T1D55	T1D56	T2D11	T2D12	T2D13	T2D14	T2D15	T2D16	T2D31	T2D32	T2D33	T2D34	T2D35	T2D36	T2D51	T2D52	T2D53	T2D54	T2D55	T2D56	T3D11	T3D12	T3D13	T3D14	T3D15	T3D16	T3D31	T3D32	T3D33	T3D34	T3D35	T3D36	T3D51	T3D52	T3D53	T3D54	T3D55	T3D56
6110f28a1de867a9983a8a28ecf4e533	394.0	151.0	111.0	192.0	34.0	20.0	115.0	265.0	180.0	11805.0	171.0	28.0	0.0	161.0	206.0	233.0	62.0	1030.0	1746.0	1294.0	10096.0	804.0	2712.0	6081.0	2622.0	3133.0	188.0	0.0	0.0	0.0	372.0	118.0	152.0	1476.0	192.0	1697.0	108.0	940.0	1471.0	68.0	9587.0	2295.0	32544.0	3341.0	85.0	0.0	25.0	0.0	51.0	0.0	0.0	9232.0	46.0	0.0	0.0	0.0	32.0	3323.0	5959.0	0.0	22.0	0.0
195f3ccd0bdf6825b6b2946245453168	58.0	108.0	159.0	352.0	26960.0	45588.0	7058.0	198.0	0.0	18.0	0.0	0.0	0.0	83.0	405.0	866.0	169.0	1570.0	0.0	183.0	0.0	0.0	0.0	5.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	189.0	873.0	76.0	290.0	406.0	513.0	0.0	0.0	0.0	0.0	0.0	0.0	422.0	39.0	330.0	3625.0	247.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	6.0	6.0	0.0
47fbd45f80e40fdc565e816d039d24a9	1369.0	3908.0	3130.0	2685.0	687.0	158.0	1356.0	2987.0	338.0	2924.0	197.0	1202.0	648.0	21983.0	468.0	1005.0	251.0	1700.0	2874.0	8715.0	415.0	111.0	405.0	416.0	316.0	225.0	124.0	1079.0	298.0	0.0	886.0	1159.0	2185.0	2302.0	6329.0	2460.0	269.0	230.0	0.0	0.0	42.0	47.0	47.0	50.0	279.0	33.0	220.0	399.0	289.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	1490.0	61.0	0.0	0.0	0.0
989cbcb5c4f567216341612828a1a3d9	74.0	177.0	107.0	232.0	52.0	0.0	186.0	239.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302.0	705.0	117.0	96.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	417.0	0.0	537.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1792.0	0.0	0.0	5662.0	548.0	248.0	35061.0	699.0	3482.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7c92a098a5107cfd2f65091e595c0e8a	111.0	449.0	427.0	374.0	137.0	40.0	190.0	186.0	295.0	45.0	192.0	1869.0	7.0	1182.0	477.0	47.0	129.0	50.0	223.0	289.0	81.0	239.0	35.0	162.0	245.0	53.0	1003.0	83.0	36.0	0.0	596.0	396.0	176.0	570.0	115.0	433.0	751.0	3970.0	25.0	0.0	23.0	0.0	41.0	50.0	135.0	64.0	24.0	351.0	21.0	11.0	1252.0	297.0	1662.0	0.0	0.0	0.0	2951.0	293.0	1504.0	618.0	1177.0	854.0
a5d798908d5e96ac35f5950a65ab22a0	115.0	165.0	137.0	149.0	58.0	32.0	77.0	200.0	120.0	0.0	26.0	0.0	0.0	549.0	1472.0	72.0	0.0	0.0	86.0	0.0	38.0	61.0	257.0	0.0	55.0	221.0	0.0	0.0	0.0	0.0	214.0	86.0	0.0	417.0	65.0	357.0	0.0	93.0	129.0	102.0	0.0	0.0	0.0	0.0	4778.0	246.0	0.0	0.0	0.0	0.0	52.0	10741.0	3809.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e78d28b0c959b6e035caad98e3288205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0	155.0	0.0	278.0	89.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	9.0	4.0	13.0	0.0	49.0	138.0	44.0	0.0	107.0	453.0	214.0	0.0	188.0	0.0	1939.0	8003.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	22.0	101.0	10.0	0.0	119.0	26.0	702.0	0.0	0.0	0.0	25.0	21.0	76.0	60.0	77.0	37.0
10afda2baef44de4c584a6641de399b1	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	1208.0	1733.0	3501.0	2939.0	869.0	2176.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	41.0	56.0	0.0	0.0	18.0	59.0	63.0	45.0	73.0	23.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	14.0	30.0	48.0	5.0	24.0	14.0
d829bee4984f82ffc2453212157caf96	62.0	94.0	79.0	84.0	31.0	20.0	74.0	132.0	736.0	41.0	350.0	713.0	10.0	122.0	475.0	1279.0	252.0	1151.0	649.0	333.0	15.0	8.0	12.0	27.0	41.0	6.0	114.0	127.0	27.0	0.0	62.0	292.0	105.0	157.0	145.0	214.0	69.0	127.0	20.0	8.0	19.0	6.0	16.0	14.0	96.0	55.0	94.0	465.0	112.0	28.0	112.0	36.0	589.0	0.0	0.0	0.0	54.0	67.0	73.0	58.0	95.0	98.0
9af3467db68cf6063627304cecd46a65	0.0	0.0	23.0	0.0	0.0	0.0	0.0	41.0	663.0	0.0	228.0	272.0	0.0	0.0	54.0	164.0	26.0	149.0	5951.0	516.0	0.0	0.0	0.0	774.0	51.0	0.0	203.0	0.0	0.0	0.0	0.0	0.0	587.0	150.0	235.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	14.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65c9c89e6185e1c63ed3217f5b818812	125.0	0.0	0.0	149.0	0.0	0.0	0.0	123.0	0.0	0.0	204.0	436.0	0.0	0.0	731.0	650.0	357.0	373.0	352.0	612.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	462.0	103.0	702.0	310.0	842.0	2103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	0.0	358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86507ed3d0d28c78bf93537ab0f7f303	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	188.0	0.0	211.0	430.0	0.0	0.0	647.0	589.0	329.0	330.0	458.0	666.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	374.0	111.0	743.0	298.0	880.0	2183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
06f825b512d903b9230e1a55d87359ee	0.0	10.0	11.0	8.0	6.0	4.0	17.0	15.0	201.0	0.0	5857.0	8.0	0.0	0.0	7.0	13.0	0.0	9.0	107.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	65.0	98.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d46e2205f0c6ecf67b51f83d111c509c	43.0	55.0	63.0	38.0	11.0	0.0	50.0	57.0	1304.0	24.0	324.0	585.0	7.0	86.0	82.0	105.0	21.0	173.0	837.0	1009.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	12.0	0.0	0.0	0.0	0.0	934.0	101.0	287.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
616dec08971822f3a7d787629e1802c1	0.0	0.0	0.0	65.0	0.0	0.0	114.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4732.0	0.0	211.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1136.0	0.0	0.0
36aed5b1dc9b5c1a2844e58f2d34b1f5	0.0	66.0	44.0	39.0	4116.0	505.0	1020.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	30.0	16.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	18.0	14.0	0.0	24.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	3.0	55.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f52cc1224cac807cd42d9a901ed53c9b	0.0	28.0	27.0	56.0	47.0	0.0	19.0	36.0	254.0	0.0	162.0	393.0	0.0	0.0	369.0	382.0	174.0	203.0	115.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	69.0	63.0	253.0	79.0	564.0	109.0	525.0	1264.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	19.0	0.0	0.0	0.0	63.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63afe8e6aac58bf0d670a82ca5bc574c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	263.0	0.0	23.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	31.0	4612.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0
5a0783360076c89ed62508a92c436dad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4890.0	0.0	0.0
9e160142652cbae06a76d4a0bfd9847e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1144.0	217.0	339.0	106.0	2113.0	58.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0
20552dafe200cbd877d8598743e18c65	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	2803.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.0	0.0	0.0	0.0	0.0	0.0	15.0	21.0	0.0	90.0	0.0	48.0	10.0	382.0	0.0	0.0	0.0	2.0	10.0	0.0	0.0	15.0	19.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
5c60f84b3d868e8544e0b7805e20ae77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3021.0	0.0	0.0	587.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
db71e335bc263a02d10d6331d567e4ba	24.0	26.0	10.0	19.0	17.0	14.0	33.0	37.0	94.0	0.0	77.0	1349.0	0.0	0.0	48.0	80.0	34.0	89.0	561.0	502.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	101.0	199.0	75.0	65.0	17.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
